Location,Bedrooms,Bathrooms,Size,Price/SQ.Ft,Status,Price
 Arroyo Grande,3,2,1437,295.76,Regular,425000
 Arroyo Grande,3,2,1570,381.53,Regular,599000
 Arroyo Grande,4,4,3740,266.04,Regular,995000
 Arroyo Grande,2,1,624,87.34,Regular,54500
 Arroyo Grande,3,2,1800,82.78,Regular,149000
 Arroyo Grande,3,3,2480,503.63,Regular,1249000
 Arroyo Grande,3,2,1750,300,Regular,525000
 Arroyo Grande,4,2,1728,346.64,Regular,599000
 Arroyo Grande,3,2,1543,329.88,Regular,509000
 Arroyo Grande,4,3,2720,358.46,Regular,975000
 Arroyo Grande,3,2,1975,298.23,Regular,589000
 Atascadero,3,3,2044,486.79,Regular,995000
 Atascadero,4,3,2700,307.41,Regular,830000
 Atascadero,3,2,1536,283.2,Regular,435000
 Atascadero,3,2,1310,228.24,Regular,299000
 Atascadero,3,3,1961,293.22,Regular,575000
 Atascadero,2,2,120,562.5,Regular,67500
 Atascadero,3,3,2100,213.81,Regular,449000
 Atascadero,5,3,3000,116.33,Regular,349000
 Atascadero,6,3,2628,161.72,Regular,425000
 Atascadero,3,2,1737,204.38,Regular,355000
 Bradley,3,3,2640,606.06,Regular,1600000
 Cambria,2,2,703,553.34,Regular,389000
 Cambria,2,2,1698,282.69,Regular,480000
 Cambria,3,3,1953,373.27,Regular,729000
 Cambria,3,3,2130,605.63,Regular,1290000
 Cambria,4,4,3576,559.28,Regular,2000000
 Cambria,2,3,2219,269.49,Regular,598000
 Cambria,2,2,919,707.29,Regular,650000
 Cambria,2,3,1840,448.37,Regular,825000
 Cambria,5,4,3684,812.98,Regular,2995000
 Cambria,4,3,2717,366.21,Regular,995000
 Cambria,3,3,1860,465.05,Regular,865000
 Cambria,3,3,2392,459.87,Regular,1100000
 Cayucos,3,3,1832,286.57,Regular,525000
 Cayucos,2,2,1437,483.65,Regular,695000
 Creston,3,2,1701,322.75,Regular,549000
 Grover Beach,3,3,3621,275.89,Regular,999000
 Grover Beach,3,2,1080,341.67,Regular,369000
 Lompoc,3,1,1000,149.9,Regular,149900
 Los Osos,3,3,2502,539.57,Regular,1350000
 Los Osos,2,2,1536,123.05,Regular,189000
 Los Osos,3,3,2193,295.49,Regular,648000
 Los Osos,3,2,1440,103.47,Regular,149000
